Contiguous U.S., Average Temperature
Units: Degrees Fahrenheit
Base Period: 2015-2020
Missing: -99
Date,Value,Anomaly
201501,33.08,-0.11
201502,32.99,-3.20
201503,45.39,0.70
201504,53.24,1.08
201505,60.84,-0.43
201506,71.37,0.69
201507,73.92,-1.17
201508,72.95,-0.46
201509,68.54,1.23
201510,57.24,1.96
201511,44.60,0.86
201512,38.66,3.09
201601,32.22,-0.97
201602,39.47,3.28
201603,47.50,2.81
201604,53.19,1.03
201605,60.33,-0.94
201606,71.76,1.08
201607,75.22,0.13
201608,73.53,0.12
201609,67.12,-0.19
201610,57.72,2.44
201611,47.97,4.23
201612,32.95,-2.62
201701,33.57,0.38
201702,41.18,4.99
201703,46.15,1.46
201704,53.80,1.64
201705,60.57,-0.70
201706,70.36,-0.32
201707,75.70,0.61
201708,72.01,-1.40
201709,66.27,-1.04
201710,55.69,0.41
201711,45.03,1.29
201712,34.29,-1.28
201801,32.16,-1.03
201802,35.51,-0.68
201803,42.73,-1.96
201804,49.03,-3.13
201805,65.52,4.25
201806,71.55,0.87
201807,75.45,0.36
201808,73.51,0.10
201809,67.53,0.22
201810,53.71,-1.57
201811,40.01,-3.73
201812,35.51,-0.06
201901,32.56,-0.63
201902,31.84,-4.35
201903,40.30,-4.39
201904,52.84,0.68
201905,59.49,-1.78
201906,68.72,-1.96
201907,74.61,-0.48
201908,73.74,0.33
201909,68.43,1.12
201910,52.05,-3.23
201911,41.11,-2.63
201912,36.43,0.86
202001,35.53,2.34
202002,36.16,-0.03
202003,46.06,1.37
202004,50.85,-1.31
202005,60.87,-0.40
202006,70.29,-0.39
202007,75.65,0.56
202008,74.71,1.30
202009,65.98,-1.33
