"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-01",100.2958,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-02",100.5078,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-03",100.6423,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-04",100.6587,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-05",100.6913,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-06",100.7046,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-07",100.6058,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-08",100.4797,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-09",100.4389,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-10",100.4619,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-11",100.4336,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-12",100.4106,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-01",100.4003,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-02",100.4369,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-03",100.526,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-04",100.5684,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-05",100.6643,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-06",100.7696,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-07",100.8093,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-08",100.8604,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-09",100.8896,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-10",100.8987,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-11",100.9218,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-12",100.8584,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-01",100.6736,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-02",100.4481,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-03",100.2751,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-04",100.2365,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-05",100.2883,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-06",100.3906,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-07",100.4165,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-08",100.5081,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-09",100.7236,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-10",100.9451,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-11",101.0695,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-12",101.1405,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-01",101.1982,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-02",101.2863,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-03",101.3159,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-04",101.2789,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-05",101.2051,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-06",101.2515,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-07",101.3701,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-08",101.432,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-09",101.423,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-10",101.421,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-11",101.3951,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2017-12",101.4046,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-01",101.3889,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-02",101.3676,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-03",101.3512,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-04",101.3105,
